EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
LINKS (LONDON) LIMITED,"Francis House,
11 Francis Street,
London,
United Kingdom,
SW1P 1DE",2379173,47770,0.1,13.9,-16.6,-32.4,58,67,11,89,9,91,17,83,16,84,https://www.linksoflondon.com/gb-en/culture.html,George Manousakis (Head of HR),250 to 499,LINKS (LONDON) LIMITED,FALSE
Lion Academy Trust,"Barclay Primary School,
155 Canterbury Road,
London,
United Kingdom,
E10 6EJ",8171341,"1,
85200",41.2,40.4,0,0,0,0,2.6,97.4,0,100,16.9,83.1,19.7,80.3,http://www.lionacademytrust.net/our-trust/our-policies,,250 to 499,Lion Academy Trust,FALSE
LIQUID PERSONNEL LIMITED,"Caledonia House, 223 Pentonville Road,
London,
England,
N1 9NG",6155616,78109,7.8,1.7,70.1,90.9,32.9,15,30.6,69.4,23.6,76.4,22.2,77.8,40.3,59.7,https://ukics.com/gender-pay-gap/,Richard MacMillan (CEO),500 to 999,LIQUID PERSONNEL LIMITED,FALSE
Livability,"6 Mitre Passage,
London,
England,
SE10 0ER",5967087,"85320,
87300,
88100,
88990",12,4,NA,NA,0,0,23,77,14,86,17.5,82.5,24,76,https://www.livability.org.uk,Helen England (CEO),1000 to 4999,Livability,TRUE
LIVE NATION (MUSIC) UK LIMITED,"2nd Floor, Regent Arcade House,
19-25 Argyll Street,
London,
W1F 7TS",2409911,"90010,
90020,
90040",80,23,91,36,34,30,50,50,33,67,48,52,55,45,,"Stuart Douglas (Chief Operating Officer, Live Nation UK & Ireland)",250 to 499,LIVE NATION (MUSIC) UK LIMITED,FALSE
LIVING AMBITIONS LIMITED,"56 Southwark Bridge Road,
London,
United Kingdom,
SE1 0AS",2622175,96090,-2.7,-3.8,0,0,0,0,25,75,32,68,29,71,22,78,https://www.lifeways.co.uk/wp-content/uploads/2019/02/Living-Ambitions-GPR-2018.pdf,Julia Haines Daniels (Group HR Director),1000 to 4999,LIVING AMBITIONS LIMITED,FALSE
LLOYD SHOE CO LIMITED,"Cosmopolitan House,
2 Phipp Street,
London,
United Kingdom,
EC2A 4BP",1984976,47721,12,0,-1.4,13.9,47.5,51.9,54,46,53,47,43,57,47,53,http://www.lloydshoe.co.uk/Gender%20Pay%20report%202018.pdf,Rebecca Wilson (Commercial Director),500 to 999,LLOYD SHOE CO LIMITED,FALSE
LLOYDS BANK ASSET FINANCE LIMITED,"25 Gresham Street,
London,
EC2V 7HN",615235,64999,23.2,26.2,49.2,59.4,95.6,95.3,26.8,73.2,42.4,57.6,53.7,46.3,69.5,30.5,https://www.lloydsbankinggroup.com/globalassets/our-group/responsible-business/reporting-centre/gender-pay-gap-report-2017-18-final.pdf,Jen Tippin (Group People & Productivity Director),1000 to 4999,LLOYDS BANK ASSET FINANCE LIMITED,FALSE
Lloyds Bank PLC,"25 Gresham Street,
London,
United Kingdom,
EC2V 7HN",2065,64191,36.1,41.7,71.4,66.8,91.5,93.1,28.7,71.3,33.3,66.7,50.3,49.7,67.3,32.7,https://www.lloydsbankinggroup.com/globalassets/our-group/responsible-business/reporting-centre/gender-pay-gap-report-2017-18-final.pdf,Jen Tippin (Group People & Productivity Director),"20,000 or more",Lloyds Bank PLC,FALSE
LLOYD'S REGISTER EMEA,"71 Fenchurch Street,
London,
EC3M 4BS",IP29592R,,31,32.8,39.9,33.1,91.1,90.2,46.8,53.2,81.5,18.5,90,10,93.5,6.5,,Richard Drury (Group HR Director),500 to 999,LLOYD'S REGISTER EMEA,FALSE
LLOYD'S REGISTER GROUP SERVICES LIMITED,"71 Fenchurch Street,
London,
United Kingdom,
EC3M 4BS",6193893,82990,29.3,27.4,53.9,33.7,80,85.1,37.1,62.9,49.8,50.2,60,40,71.9,28.1,,Richard Drury (Group HR Director),250 to 499,LLOYD'S REGISTER GROUP SERVICES LIMITED,FALSE
LLOYD'S REGISTER QUALITY ASSURANCE LIMITED,"71 Fenchurch Street,
London,
United Kingdom,
EC3M 4BS",1879370,82990,24.6,24.8,21.2,35.1,84.4,84,32.5,67.5,60.4,39.6,79.2,20.8,76.3,23.7,,Richard Drury (Group HR Director),250 to 499,LLOYD'S REGISTER QUALITY ASSURANCE LIMITED,FALSE
LOCAL PENSIONS PARTNERSHIP LTD,"169 Union Street,
London,
England,
SE1 0LL",9830002,64205,26.9,2,73.2,76.6,21,19,50.8,49.2,46.3,53.7,37.9,62.1,59.1,40.9,https://www.localpensionspartnership.org.uk/Files/Files/Gender%20Pay%20Statement%202018.pdf,Jacqui Self (Director of Human Resources),250 to 499,LOCAL PENSIONS PARTNERSHIP LTD,FALSE
LOCAL WORLD LIMITED,"One Canada Square,
Canary Wharf,
London,
United Kingdom,
E14 5AP",8290481,58130,6,9.1,-22.4,-122.7,95,95,38,62,50,50,61,39,50,50,https://www.reachplc.com/home,Julia Warren (Group Human Resources Director),1000 to 4999,LOCAL WORLD LIMITED,FALSE
L'OCCITANE LIMITED,"21 Bedford Square,
London,
United Kingdom,
WC1B 3HH",3278335,47750,31.9,16.4,59.9,43.5,90,86.4,7.1,92.9,9.5,90.5,13.5,86.5,17.5,82.5,,Alain Harfouche (General Manager UK & Ireland),500 to 999,L'OCCITANE LIMITED,FALSE
LOIZOU RESTAURANTS LIMITED,"THE ACCOUNTING CENTRE, FIRST FLOOR,
736 High Road,
North Finchley,
London,
England,
N12 9QD",6183263,47290,0.8,-0.4,-32.4,-15.3,15.5,9,46.5,53.5,40,60,32.8,67.2,49.1,50.9,,John Loizou (Director),250 to 499,LOIZOU RESTAURANTS LIMITED,FALSE
LOMONDO LIMITED,"Hotel Melia The White House,
Albany Street Regents Park,
London,
United Kingdom,
NW1 3UP",2793825,55100,1.9,-3,9.3,0,64.2,67.5,67.2,32.8,52.9,47.1,50.7,49.3,53.7,46.3,https://www.meliahotelsinternational.com/en/shareholdersAndInvestors/LegalDocs/Gender%20Pay%20Gap%20Report%20-%20Lomondo%202018.pdf,Martin Cambeiro (Director of Compensation & Benefits),250 to 499,LOMONDO LIMITED,FALSE
LONDON & QUADRANT HOUSING TRUST LIMITED,"1 Kings Hall Mews,
London,
London,
United Kingdom,
SE13 5JQ",IP030441,,15.9,7.6,-2.2,7.9,80.5,84.2,48.1,51.9,45,55,46.3,53.7,63.1,36.9,https://www.lqgroup.org.uk/_assets/files/view/dd1c717b-44d1-441a-b55d-dcd71ee2956c/,"Tom Nicholls (Group Director, HR)",1000 to 4999,LONDON & QUADRANT HOUSING TRUST LIMITED,FALSE
London Ambulance Service N H S Trust,"Ambulance Station,
220 Waterloo Road,
London,
London,
United Kingdom,
SE1 8SD",,"1,
86210",4.7,4.2,27.9,33,66.2,62.8,50.9,49.1,55.4,44.6,52.9,47.1,63.5,36.5,https://www.londonambulance.nhs.uk/working-for-us/equality-inclusion-workplace/,,"5000 to 19,999",London Ambulance Service N H S Trust,FALSE
London borough Harrow Council,"Civic Centre,
Station Road,
HA1 2XY",,"1,
84110",-3.3,-13.2,26.7,-47.5,4.6,6.5,52.9,47.1,34.4,65.6,30.6,69.4,37.7,62.3,,,1000 to 4999,London borough Harrow Council,FALSE
London Borough of Barking and Dagenham,"Barking Town Hall,
1, Town Hall Square,
Barking,
IG11 7LU",,"1,
84110",13.5,16.8,84.2,89.5,10.4,3.8,14.8,85.2,47.3,52.7,34.4,65.6,49,51,https://www.lbbd.gov.uk/workforce-information,,1000 to 4999,London Borough of Barking and Dagenham,FALSE
London Borough of Bexley,"Civic Offices,
2 Watling Street,
Bexleyheath,
DA6 7AT",,"1,
84110",8.4,9.1,21.5,17.1,8.3,5.6,23,77,19.6,80.4,26.6,73.4,27.9,72.1,,,1000 to 4999,London Borough of Bexley,FALSE
London Borough of Bromley Council,"Civic Centre,
Stockwell Close,
Bromley,
Kent,
United Kingdom,
BR1 3UH",,"1,
84110",15.9,11.7,-10,0,15,42,18,82,20,80,28,72,31,69,,,1000 to 4999,London Borough of Bromley Council,FALSE
London Borough of Camden,"Town Hall,
Judd Street,
London,
WC1H 9JE",,"1,
84110",-0.1,-1.6,18.7,14.5,36.2,29.7,48,52,40,60,41,59,45,55,https://opendata.camden.gov.uk/Your-Council/London-Borough-of-Camden-pay-gap-report-2017-18/4hzi-bsk9,,1000 to 4999,London Borough of Camden,FALSE
London Borough of Hackney,"1 Hillman Street,
London,
London,
United Kingdom,
E8 1DY",,"1,
84110",-4.6,-16.8,38.6,57.4,7,0.1,56,44,49,51,40,60,44,56,https://www.hackney.gov.uk/gender-pay-gap-reporting,,1000 to 4999,London Borough of Hackney,FALSE
London Borough of Hammersmith & Fulham,"Town Hall,
King Street,
London,
London,
United Kingdom,
W6 9JU",,"1,
84110",5.2,3.7,-35.7,-55.2,14.9,4.2,56.2,43.8,37.1,62.9,39.6,60.4,50.7,49.3,https://www.lbhf.gov.uk/councillors-and-democracy/data-and-information/transparency/pay-and-organisation,,1000 to 4999,London Borough of Hammersmith & Fulham,FALSE
London Borough of Hillingdon,"Civic Centre, High Street,
Uxbridge,
Middlesex,
United Kingdom,
UB8 1UW",,"1,
84110",4.4,0.6,0,0,0,0,36.6,63.4,35.2,64.8,33.5,66.5,39.1,60.9,https://www.hillingdon.gov.uk,,1000 to 4999,London Borough of Hillingdon,FALSE
London Borough Of Hounslow,"Civic Centre,
Lampton Road,
Hounslow,
TW3 4DN",,"1,
84110",3.1,5.2,NA,NA,0,0,34.4,65.6,32.6,67.4,33.5,66.5,43,57,,,1000 to 4999,London Borough Of Hounslow,FALSE
London Borough of Islington,"7 Newington Barrow Way,
London,
N7 7EP",,"1,
84110",-4.9,-11,-30.6,-13.6,4.7,10,59.6,40.4,50.3,49.7,42.6,57.4,46.3,53.7,https://islington.gov.uk,,1000 to 4999,London Borough of Islington,TRUE
London Borough of Merton,"Merton Civic Centre,
100 London Road,
Morden,
SM4 5DX",,"1,
84110",10.5,8.2,97.2,64.1,6.5,6.9,25,75,28,72,33,67,36,64,,,1000 to 4999,London Borough of Merton,FALSE
London Borough of Redbridge Council,"255-259 High Road,
Ilford,
Essex,
IG1 1NN",,"1,
84110",-4.7,-9.2,NA,NA,0,0,55.3,44.7,24.1,75.9,32.1,67.9,37,63,,,1000 to 4999,London Borough of Redbridge Council,FALSE
London Borough Of Richmond Upon Thames Council,"Civic Centre,
44 York Street,
Twickenham,
Middlesex,
TW1 3BZ",,"1,
84110",6,2.8,26.5,10.3,72.2,68.9,42.7,57.3,31.9,68.1,41.4,58.6,43.4,56.6,,,1000 to 4999,London Borough Of Richmond Upon Thames Council,FALSE
London Borough Of Southwark,"HR Data Team, 2nd Floor,
160 Tooley Street,
London,
SE1 2QH",,"1,
84110",-7.9,-11.8,93.1,87.5,4.2,0.8,68.5,31.5,41.1,58.9,41.4,58.6,47.3,52.7,https://www.southwark.gov.uk/council-and-democracy/equality-and-diversity/employment-and-equalities,,1000 to 4999,London Borough Of Southwark,FALSE
London Borough Of Sutton,"Civic Offices,
St. Nicholas Way,
Sutton,
SM1 1EA",,"1,
84110",14.6,11.1,NA,NA,0,0,24,76,26,74,27,73,41,59,https://www.sutton.gov.uk/info/200436/customer_services/874/open_data/2,,1000 to 4999,London Borough Of Sutton,FALSE
London Borough Of Tower Hamlets,"Town Hall,
London,
London,
United Kingdom,
E14 2BG",,"1,
84110",8.4,6.5,-7.5,0,1.2,1.9,28.2,71.8,35.6,64.4,42.5,57.5,41.4,58.6,https://www.towerhamlets.gov.uk/Home.aspx,,1000 to 4999,London Borough Of Tower Hamlets,FALSE
LONDON BUS SERVICES LIMITED,"55 Broadway,
London,
United Kingdom,
SW1H 0BD",3914787,49390,4,7.9,-6.2,3.7,48.3,63.6,65.3,34.7,61.2,38.8,69.4,30.6,77.6,22.4,https://tfl.gov.uk/corporate/publications-and-reports/equality-and-inclusion-publications#on-this-page-3,"Mike Brown MVO (Commissioner, Transport for London)",250 to 499,LONDON BUS SERVICES LIMITED,FALSE
LONDON BUSES LIMITED,"55 Broadway,
London,
United Kingdom,
SW1H 0BD",1900906,49319,0.6,3.1,19,0.2,8.5,10.8,63.3,36.7,67.6,32.4,85.2,14.8,62,38,https://tfl.gov.uk/corporate/publications-and-reports/equality-and-inclusion-publications#on-this-page-3,"Mike Brown MVO (Commissioner, Transport for London)",250 to 499,LONDON BUSES LIMITED,FALSE
London Business School,"Regent's Park,
Inner Circle,
London,
United Kingdom,
United Kingdom,
NW1 4NS",RC000721,"1,
85421",44.8,17.7,NA,NA,0,0,33.5,66.5,27.5,72.5,40.1,59.9,58.2,41.8,https://www.london.edu/-/media/files/diversity-annual-report-2019.pdf,,500 to 999,London Business School,FALSE
London Care Limited,"101-103 Baker Street,
3rd Floor Caparo House,
London,
England,
W1U 6EF",3117278,"86900,
88990",3.1,7.7,NA,NA,0,0,10,90,11,89,12,88,20,80,,Max Wurr (Director of Policy and Communications),1000 to 4999,London Care Limited,FALSE
LONDON CITY AIRPORT LIMITED,"London City Airport,
City Aviation House,
Royal Docks,
London,
United Kingdom,
E16 2PB",1963361,51101,1,-2.1,-12.7,22.2,87,89,81.6,18.4,75.8,24.2,59.2,40.8,75.8,24.2,https://www.londoncityairport.com/,Michael Spiers (CPO),500 to 999,LONDON CITY AIRPORT LIMITED,FALSE
LONDON CITY BOND LIMITED,"Olympus,
91-101 River Road,
Barking,
Essex,
United Kingdom,
IG11 0EG",2246348,52103,6.5,16.8,56.3,50,2.2,3.3,83.2,16.8,95.8,4.2,74,26,84.4,15.6,https://www.lcb.co.uk,Nick Joyce (Finance Director),250 to 499,LONDON CITY BOND LIMITED,FALSE
LONDON CLUBS MANAGEMENT LIMITED,"55 Baker Street,
London,
England,
W1U 8EW",2737549,70100,2.7,0,4.3,0,84,85.6,51.3,48.7,63.5,36.5,60.1,39.9,54,46,https://www.caesars.co.uk/careers/gender-pay-information,Alex Oswald (Chief Financial Officer (EMEA)),1000 to 4999,LONDON CLUBS MANAGEMENT LIMITED,FALSE
LONDON CYRENIANS HOUSING LIMITED,"Carlyle House, 235-237 Vauxhall Bridge Road,
London,
England,
SW1V 1EJ",1197478,87900,7.7,0,0,0,0,0,31.2,68.8,32.5,67.5,25.3,74.7,39,61,https://cyrenians.org,Sally Brown (Head of Central Services),250 to 499,LONDON CYRENIANS HOUSING LIMITED,FALSE
LONDON EXECUTIVE OFFICES LTD,"33 St. James's Square,
London,
SW1Y 4JS",3584248,68209,11.6,9.2,11.1,50,53.9,59.7,27.1,72.9,37.9,62.1,50,50,37.9,62.1,,Jason Leek (CEO),250 to 499,LONDON EXECUTIVE OFFICES LTD,FALSE
London Fire & Emergency Planning Authority,"169 Union Street,
London,
London,
SE1 0LL",,"1,
84110",-7.7,-4.6,0,0,0,0,80.8,19.2,94.8,5.2,92.4,7.6,74.3,25.7,https://www.london-fire.gov.uk/about-us/equality-and-diversity/recruitment-retention-and-development/,,"5000 to 19,999",London Fire & Emergency Planning Authority,FALSE
LONDON GATEWAY PORT LIMITED,"16 Palace Street,
London,
United Kingdom,
SW1E 5JQ",4341592,"52220,
52242",-2.9,-6.2,1.6,-45.3,93.3,94.1,79.8,20.2,89.6,10.4,90.4,9.6,72.8,27.2,https://londongateway.blob.core.windows.net/n2cms/upload/PDF/2017%20-%20Gender%20Pay%20Gap%20Report%20-%20LG.pdf,Victoria Tobin (UK Head of Human Resources),250 to 499,LONDON GATEWAY PORT LIMITED,FALSE
LONDON HIRE COMMUNITY SERVICES  LIMITED,"185, Manor Road,
Erith,
England,
DA8 2AD",8398077,49319,8.9,6.7,91.3,76,2.4,0.5,38.9,61.1,11.7,88.3,44.2,55.8,67.5,32.5,,Neil Donald (Director),250 to 499,LONDON HIRE COMMUNITY SERVICES  LIMITED,FALSE
LONDON MAY FAIR HOTEL LIMITED,"140 Bath Road,
Hayes,
Middlesex,
United Kingdom,
UB3 5AW",4835591,55100,3.7,2.7,14.7,16.6,69.1,54.9,54.6,45.4,59.3,40.7,46.3,53.7,63,37,,Ramkumar Narayanasamy (Finance),250 to 499,LONDON MAY FAIR HOTEL LIMITED,FALSE
London Metropolitan University,"Tower Building,
166 - 220 Holloway Road,
London,
N7 8DB",,"1,
85421",7,12,0,0,0,0,40,60,53,47,49,51,56,44,https://www.londonmet.ac.uk/about/jobs-at-london-met/equality-and-diversity/,,1000 to 4999,London Metropolitan University,FALSE
London North West University Healthcare Trust,"Northwick Park Hospital,
Watford Road,
Harrow,
HA1 3UJ",,"1,
86210",22.5,13.6,11,11.4,6.4,1.1,19.5,80.5,20,80,20.2,79.8,63.7,36.3,https://www.lnwh.nhs.uk/,,"5000 to 19,999",London North West University Healthcare Trust,TRUE
LONDON RESIDENTIAL HEALTHCARE LIMITED,"12-14 Langley Avenue,
Surbiton,
Surrey,
United Kingdom,
KT6 6QL",3320455,"41100,
96090",1.2,11.1,26.3,0,97.5,90.9,18.1,81.9,28,72,20.6,79.4,36.6,63.4,https://www.lrh-homes.com,Chris Winston (Group Financial Controller),500 to 999,LONDON RESIDENTIAL HEALTHCARE LIMITED,FALSE
London School Of Economics & Political Science,"Lse,
Houghton Street,
London,
United Kingdom,
WC2A 2AE",70527,"1,
85421,
85422",23.9,14.9,63.6,50,13.8,13.4,46,54,42,58,44,56,65,35,https://info.lse.ac.uk/staff/divisions/equity-diversity-and-inclusion/Assets/Documents/PDFs/LSE-Gender-Pay-Gap-Report-2018.pdf,,1000 to 4999,London School Of Economics & Political Science,FALSE
LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,"Keppel Street,
London,
WC1E 7HT",RC000330,"1,
72190,
72200,
85422",18.3,12.5,93.9,60.4,1.3,1.2,27.8,72.2,33.1,66.9,36.1,63.9,54.7,45.3,https://www.lshtm.ac.uk/aboutus/organisation/governance/equality-diversity-inclusion/gender-pay-gap,,1000 to 4999,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,FALSE
London South Bank University,"103 Borough Road,
London,
United Kingdom,
SE1 0AA",986761,"1,
85421,
85422",6.6,5.3,45.2,44.5,1.6,1.1,38.2,61.8,50.3,49.7,50.5,49.5,50.1,49.9,http://www.lsbu.ac.uk/about-us/news/lsbu-gender-pay-gap-report-2019,,1000 to 4999,London South Bank University,FALSE
London South East Colleges Group,"Rookery Lane,
Bromley College of Further & Higher Education,
Kent,
BR2 8HE",,"1,
85320",4.5,6.7,-26.3,-5.3,1.1,0.4,35,65,26,74,29,71,42,58,,,1000 to 4999,London South East Colleges Group,FALSE
LONDON SOUTHEND AIRPORT COMPANY LIMITED,"Third Floor,
15 Stratford Place,
London,
England,
W1C 1BE",2881745,"51101,
52103,
82990",27.1,8.2,0.5,0.8,0.1,0.1,43.9,56.1,53.7,46.3,72,28,73.2,26.8,,Alison Watson (Head of People & Payroll),250 to 499,LONDON SOUTHEND AIRPORT COMPANY LIMITED,FALSE
LONDON SOVEREIGN LIMITED,"Busways House,
Wellington Road,
Twickenham,
Middlesex,
United Kingdom,
TW2 5NX",2467207,49319,6.6,4.8,15.4,-500,30.8,16.7,93.8,6.2,90.3,9.7,93.8,6.2,93.7,6.3,,Karen Fuller (HR Director),500 to 999,LONDON SOVEREIGN LIMITED,FALSE
London Stock Exchange PLC,"10 Paternoster Square,
London,
United Kingdom,
EC4M 7LS",2075721,66110,31.6,15.4,50.3,20,87.3,88.3,46.2,53.8,59.5,40.5,59,41,74.4,25.6,https://www.lseg.com/documents/lseg-uk-gender-pay-gap-report-march-2019-pdf,David Schwimmer (Chief Executive Officer),250 to 499,London Stock Exchange PLC,FALSE
LONDON UNDERGROUND LIMITED,"55 Broadway,
London,
United Kingdom,
SW1H 0BD",1900907,49311,12.7,21.7,9,0,93.3,89.8,70.6,29.4,82.4,17.6,87,13,90.7,9.3,https://tfl.gov.uk/corporate/publications-and-reports/equality-and-inclusion-publications#on-this-page-3,"Mike Brown MVO (Commissioner, Transport for London)","5000 to 19,999",LONDON UNDERGROUND LIMITED,FALSE
LONDON UNITED BUSWAYS LIMITED,"Busways House,
Wellington Road,
Twickenham,
Middlesex,
United Kingdom,
TW2 5NX",2328561,49319,-4,-0.9,-156,0,29.5,21.5,92.2,7.8,89.4,10.6,90.3,9.7,90.3,9.7,,Karen Fuller (HR Director),1000 to 4999,LONDON UNITED BUSWAYS LIMITED,FALSE
LONDON XXI LIMITED,"336-337 The Strand,
London,
United Kingdom,
WC2R 1HA",8303817,55100,-4.7,-0.3,-27.2,50,63.6,54.7,70.6,29.4,54,46,54.9,45.1,70,30,https://www.meliahotelsinternational.com/en/shareholdersAndInvestors/LegalDocs/Gender%20Pay%20Gap%20Report%20-%20London%20XXI%202018.pdf,Martin Cambeiro (Director of Compensation & Benefits),250 to 499,LONDON XXI LIMITED,FALSE
LONDONENERGY LTD,"Ecopark, Advent Way, Edmonton,
London,
N18 3AG",2732548,"35110,
38210,
38320",-65.1,-11.7,23.3,0,75.6,70,94.7,5.3,94.7,5.3,93.4,6.6,90.7,9.3,,Mary Czulowski (Finance Director),250 to 499,LONDONENERGY LTD,FALSE
LONGSHOT KIDS LIMITED,"5 Albany Courtyard,
Piccadilly,
London,
W1J 0HF",7880327,82990,5.8,2.9,11.5,51.9,7,6,28,72,16,84,32,68,38,62,https://kidzania.co.uk/contact-us/work-with-us,Victoria Gregory (General Manager),250 to 499,LONGSHOT KIDS LIMITED,FALSE
LOOK AHEAD CARE AND SUPPORT LIMITED,"Kings Building,
16 Smiths Square,
London,
United Kingdom,
SW1P 3HQ",IP21004R,,2.4,2.2,11.1,0,57.6,58.2,35.5,64.5,35.2,64.8,41.7,58.3,39.6,60.4,,Julie Blair (Director of Corporate Services),1000 to 4999,LOOK AHEAD CARE AND SUPPORT LIMITED,FALSE
L'OREAL (U.K.) LIMITED,"255 Hammersmith Road,
London,
United Kingdom,
W6 8AZ",271555,"46450,
47750",36.5,30.8,56,36.4,90.2,92.6,8.4,91.6,12.1,87.9,12.4,87.6,28.8,71.2,https://www.loreal.co.uk/medias/news/loreal-uk-gender-pay-gap-report-2018-5957.htm,Vismay Sharma (Country Managing Director L'Oreal  UKI),1000 to 4999,L'OREAL (U.K.) LIMITED,FALSE
Lorne Stewart PLC,"Stewart House,
Kenton Road,
Harrow,
Middlesex,
United Kingdom,
HA3 9TU",1348218,"43210,
43220",44,40,71,46,15,16,53,47,85,15,94,6,98,2,https://www.lornestewartgroup.com/news-and-downloads/,Simon Roopchand (Group CEO),500 to 999,Lorne Stewart PLC,FALSE
LOTUS INTERNATIONAL LIMITED,"Sandpiper House,
37-39 Queen Elizabeth Street,
London,
United Kingdom,
SE1 2BT",1835272,79110,15.3,14.4,NA,NA,0,0,73.5,26.5,68.7,31.3,84.3,15.7,88,12,https://www.dialaflight.com,Mark Furnish (Management Accountant),250 to 499,LOTUS INTERNATIONAL LIMITED,FALSE
LOUIS VUITTON UK LIMITED,"C/O Browne Jacobson Llp,
6 Bevis Marks,
London,
United Kingdom,
EC3A 7BA",1633350,"47710,
47721,
47722,
47770",6,4,14.5,16.6,64,69,34,66,39,61,50,50,39,61,,Pam Bagar (Human Resources Manager),500 to 999,LOUIS VUITTON UK LIMITED,FALSE
LOVELL PARTNERSHIPS LIMITED,"Kent House,
14 - 17 Market Place,
London,
United Kingdom,
W1W 8AJ",2387333,41201,26.8,32,-227.3,-217.3,15,11,65,35,59,41,79,21,88,12,https://www.morgansindall.com/assets/Uploads/Governance/Gender-Pay-Gap/0993d42998/GPG-report-2018.pdf,Clare Sheridan (Company Secretary),500 to 999,LOVELL PARTNERSHIPS LIMITED,FALSE
LOXFORD SCHOOL TRUST LIMITED,"Loxford School,
Loxford Lane,
Ilford,
Essex,
United Kingdom,
IG1 2UT",8743560,"1,
85590",24,27,NA,NA,0,0,14,86,38,62,40,60,49,51,http://www.loxfordschooltrust.net,,1000 to 4999,LOXFORD SCHOOL TRUST LIMITED,FALSE
LSEG EMPLOYMENT SERVICES LIMITED,"10 Paternoster Square,
London,
EC4M 7LS",9100833,78300,25.3,20,17.9,11.1,86.3,84.3,56.2,43.8,75.9,24.1,78.3,21.7,82.2,17.8,https://www.lseg.com/documents/lseg-uk-gender-pay-gap-report-march-2019-pdf,David Schwimmer (Chief Executive Officer),250 to 499,LSEG EMPLOYMENT SERVICES LIMITED,FALSE
LTA SERVICES LIMITED,"The Lawn Tennis Association,
100 Priory Lane,
Roehampton,
London,
United Kingdom,
SW15 5JQ",3260051,78300,24.7,23.8,52,25.2,87,83,45,55,50,50,56,44,67,33,https://www.lta.org.uk/globalassets/about-lta/annual-reports/lta-gender-pay-gap-report-2018.pdf,Vicky Williams (People Director),250 to 499,LTA SERVICES LIMITED,FALSE
LUCOZADE RIBENA SUNTORY LIMITED,"2 Longwalk Road,
Stockley Park,
Uxbridge,
United Kingdom,
UB11 1BA",8603549,11070,-8.2,-12.2,4.4,-2.3,95.8,91,63.4,36.6,67.1,32.9,68.3,31.7,46.9,53.1,https://www.lrsuntory.com/our-company/acting-with-integrity/,Toby McKeever (Interim Chief Operating Officer),500 to 999,LUCOZADE RIBENA SUNTORY LIMITED,FALSE
LUFTHANSA TECHNIK LANDING GEAR SERVICES UK LIMITED,"Unit 3 Dawley Park,
Kestrel Way,
Hayes,
Middlesex,
United Kingdom,
UB3 1HP",3459428,"33160,
77351",-2.8,4.3,-4.7,0,49.3,55.6,90.1,9.9,97.6,2.4,50,50,100,0,https://www.ltlgs.com/company/gender-pay-gap-report,Sandra Eckstein (Managing Director),250 to 499,LUFTHANSA TECHNIK LANDING GEAR SERVICES UK LIMITED,FALSE
LULULEMON ATHLETICA UK LTD,"Garden House 57-59 Long Acre, Covent Garden,
London,
United Kingdom,
WC2E 9JL",7655911,"47710,
47910",30.4,-3.2,56.3,-2.8,76.3,83.3,21,79,12,88,9,91,25,75,https://pnimages.lululemon.com/content/dam/lululemon/www-images/Footer/Legal/uk_gender_pay_2019.pdf,"Gareth Pope (General Manager, lululemon EMEA)",Less than 250,LULULEMON ATHLETICA UK LTD,FALSE
M & G LIMITED,"10 Fenchurch Avenue,
London,
United Kingdom,
EC3M 5AG",1048359,70100,29.8,29.6,80.4,58.3,94,92,41,59,52,48,58,42,77,23,https://www.mandgprudential.com/-/media-gallery/files/mgpru/downloadable-assets/press-release-pdf/2019/pru102132-010_prudential_uk_mgprudential_gpg_2018.pdf,John Foley (CEO),1000 to 4999,M & G LIMITED,FALSE
M J MAPP  LTD,"180, Great Portland Street,
London,
W1W 5QZ",3602713,68320,27,26,64,4,54,46,37,63,37,63,64,36,79,21,http://www.mjmapp.com/,Sean Greathead (Director - Head of People and Talent),250 to 499,M J MAPP  LTD,FALSE
M&S ON-TIME SERVICES LTD,"7 Cranley Drive,
Ilford,
England,
IG2 6AH",8982232,"69202,
78109",0,0,NA,NA,0,0,93,7,91,9,91,9,90,10,,Usshanthe Mathitharan (Director),250 to 499,M&S ON-TIME SERVICES LTD,FALSE
M.P. MORAN & SONS LIMITED,"293-301 Kilburn High Road,
London,
United Kingdom,
NW6 7JR",1218121,"46740,
47520",-7,-6,0,0,17.1,7.2,85,15,80,20,77,23,72,28,http://www.mpmoran.co.uk/pages/genderpay.html,Bart Murphy (Operations Director),250 to 499,M.P. MORAN & SONS LIMITED,FALSE
